timestamp,image_a,image_b,chosen,liked_features,disliked_features,general_feedback,session_id,not_chosen
2025-06-13 23:47:04,55ee8daee7ed77d71d775d3805a205e5.jpg,59340afabaf4ae57528333da5e49f232.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,"[""color_intensity:Light Blue"", ""color_intensity:Light Blue""]",[],I prefer a more full shape over something super pointy. I don't think either are really my style but I do like the unique aspects of the gold ring,session_20250613_233742,59340afabaf4ae57528333da5e49f232.jpg
2025-06-13 23:48:14,9fd5303eb013fa5f04e910f0263361f8.jpg,f5306a4280a35350dd025318d52a4f92.jpg,f5306a4280a35350dd025318d52a4f92.jpg,"[""color_intensity:Medium Blue"", ""color_intensity:Medium Blue""]","[""color_intensity:Dark Blue""]",I prefer more blue or purple hues. The greens and teals are less appealing,session_20250613_233742,9fd5303eb013fa5f04e910f0263361f8.jpg
2025-06-13 23:49:25,b37cc18bd24f1407950ffca7e08c8999.jpg,259dbd705b44eec1129a30973a118285.jpg,b37cc18bd24f1407950ffca7e08c8999.jpg,[],[],I like both of these but prefer the more simple band. I do like the purple/blue coloring in the disliked ring tho,session_20250613_233742,259dbd705b44eec1129a30973a118285.jpg
2025-06-13 23:51:06,59340afabaf4ae57528333da5e49f232.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,"[""oval_shape:Normal"", ""color_intensity:Light Blue"", ""color_intensity:Light Blue"", ""color_intensity:Light Blue"", ""head_setting:Four Prong"", ""color_intensity:Light Blue"", ""color_intensity:Light Blue"", ""setting_style:Three Stone"", ""color_intensity:Light Blue"", ""setting_style:Three Stone""]",[],I do like the color on this one tho it leans more blue/green. I don't like the diamond setting/shape. Ill snag all my sweaters 😭,session_20250613_233742,59340afabaf4ae57528333da5e49f232.jpg
2025-06-13 23:51:48,89f98141d29f1776e7cdd681fa99066a.jpg,7b36af9c468f84a65f216f9efafdd12e.jpg,89f98141d29f1776e7cdd681fa99066a.jpg,"[""setting_style:Three Stone"", ""setting_style:Three Stone"", ""setting_style:Three Stone""]","[""setting_style:Three Stone"", ""setting_style:Three Stone""]","Do not like the more geometric/art deco style. I prefer more natural, organic shapes",session_20250613_233742,7b36af9c468f84a65f216f9efafdd12e.jpg
2025-06-13 23:52:27,6d72761904577c014571407ed631d22f.jpg,f3ce7256bccd4e9a141708520c817c94.jpg,f3ce7256bccd4e9a141708520c817c94.jpg,"[""metal_type:Yellow Gold"", ""metal_type:Yellow Gold""]",[],Prefer the rose gold,session_20250613_233742,6d72761904577c014571407ed631d22f.jpg
2025-06-13 23:53:05,c6a7e1d2bef0134a305889559bac7fb7.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,"[""overall_style:Classic"", ""oval_shape:Normal"", ""oval_shape:Normal""]",[],Prefer oval to square,session_20250613_233742,c6a7e1d2bef0134a305889559bac7fb7.jpg
2025-06-13 23:53:54,04627b5398f92e8f6172775e85fef596.jpg,e1669e380480921b21abfce650601cac.jpg,e1669e380480921b21abfce650601cac.jpg,"[""overall_style:Nature Inspired"", ""overall_style:Nature Inspired""]",[],"I like the more natural, organic style",session_20250613_233742,04627b5398f92e8f6172775e85fef596.jpg
2025-06-13 23:54:59,b37cc18bd24f1407950ffca7e08c8999.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,b37cc18bd24f1407950ffca7e08c8999.jpg,"[""overall_style:Vintage"", ""overall_style:Vintage""]",[],This was a hard one. I like the halo/stone ratio which really sells the first one. The other is still very nice,session_20250613_233742,c3ad54ddd82340e4003ecab33f552654.jpg
2025-06-18 13:15:00,c6a7e1d2bef0134a305889559bac7fb7.jpg,4b756779e4f0c8d4d6d7678885203dde.jpg,4b756779e4f0c8d4d6d7678885203dde.jpg,"[""overall_style:Nature Inspired"", ""overall_style:Nature Inspired""]",[],Square ❎,session_20250618_131413,c6a7e1d2bef0134a305889559bac7fb7.jpg
2025-06-18 13:15:53,f3738088459afd83fd0665056b838dc7 (1).jpg,f30734ee261503287bf6c694fd2e05af.jpg,f3738088459afd83fd0665056b838dc7 (1).jpg,"[""overall_style:Classic"", ""overall_style:Classic""]",[],I think I don't like squares diamonds or triangle shapes. Soft edges all the way,session_20250618_131413,f30734ee261503287bf6c694fd2e05af.jpg
2025-07-01 0:14:40,f020ae2e8b7dc43f85eb4235f3b6d82f.jpg,59340afabaf4ae57528333da5e49f232.jpg,f020ae2e8b7dc43f85eb4235f3b6d82f.jpg,"[""head_setting:Four Prong"", ""head_setting:Four Prong"", ""head_setting:Four Prong""]",[],Don't like the points.,session_20250701_001403,59340afabaf4ae57528333da5e49f232.jpg
2025-07-01 0:15:29,361e90c269677297bb4809da9d5526be.jpg,889d1cf474beb6397aaaf4a189aa24f1.jpg,361e90c269677297bb4809da9d5526be.jpg,[],[],I don't like the stone ratio on B but A isn't my favorite either,session_20250701_001403,889d1cf474beb6397aaaf4a189aa24f1.jpg
2025-07-09 16:20:34,59ba2b3c1686fef28f267013f40f4925.jpg,40de0b836027d08ce7a62418b27fa35e.jpg,59ba2b3c1686fef28f267013f40f4925.jpg,"[""overall_style:Vintage"", ""overall_style:Vintage""]",[],The diamond on the side are too bulky,session_20250709_161959,40de0b836027d08ce7a62418b27fa35e.jpg
2025-07-09 16:21:01,f3738088459afd83fd0665056b838dc7 (1).jpg,f68227f59bfabea0a3a219fbf3461a68.jpg,f3738088459afd83fd0665056b838dc7 (1).jpg,[],[],Cube = bad,session_20250709_161959,f68227f59bfabea0a3a219fbf3461a68.jpg
2025-07-09 16:21:56,55ee8daee7ed77d71d775d3805a205e5.jpg,18471cafdf7c5f929e6d2ab6314bc99f.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,[],[],I think I just like the organic shape a little more. They are close tho,session_20250709_161959,18471cafdf7c5f929e6d2ab6314bc99f.jpg
2025-07-09 16:22:10,7e5db0cb9b4223972047975878548215.jpg,f3bd6a094c8c147e801fd3f6bf6653c4 (1).jpg,f3bd6a094c8c147e801fd3f6bf6653c4 (1).jpg,[],[],Too square haha,session_20250709_161959,7e5db0cb9b4223972047975878548215.jpg
2025-07-09 16:27:30,18471cafdf7c5f929e6d2ab6314bc99f.jpg,459341971f4423f9d51ca1cb5c5bd8ac.jpg,459341971f4423f9d51ca1cb5c5bd8ac.jpg,[],[],The one is like still has too much going on but I like it a little more. The other one is a little dark in color but it could just be the lighting,session_20250709_161959,18471cafdf7c5f929e6d2ab6314bc99f.jpg
2025-07-09 16:27:40,eb5afbf13be7510e401600c9f849051d.jpg,259dbd705b44eec1129a30973a118285.jpg,eb5afbf13be7510e401600c9f849051d.jpg,[],[],,session_20250709_161959,259dbd705b44eec1129a30973a118285.jpg
2025-07-09 16:28:12,f3738088459afd83fd0665056b838dc7.jpg,eb5afbf13be7510e401600c9f849051d.jpg,f3738088459afd83fd0665056b838dc7.jpg,[],[],The over all design is better but the stone is too round,session_20250709_161959,eb5afbf13be7510e401600c9f849051d.jpg
2025-07-11 22:02:21,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,eb5afbf13be7510e401600c9f849051d.jpg,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,[],[],,session_20250711_220207,eb5afbf13be7510e401600c9f849051d.jpg
2025-07-11 22:02:46,f392e1d0a0b82712fc120e9b78720338.jpg,49e2631a76b80460e305e9c483f3bbe1.jpg,49e2631a76b80460e305e9c483f3bbe1.jpg,[],[],,session_20250711_220207,f392e1d0a0b82712fc120e9b78720338.jpg
2025-07-11 22:02:54,e1669e380480921b21abfce650601cac.jpg,f3bd6a094c8c147e801fd3f6bf6653c4.jpg,e1669e380480921b21abfce650601cac.jpg,[],[],,session_20250711_220207,f3bd6a094c8c147e801fd3f6bf6653c4.jpg
2025-07-11 22:03:11,55ee8daee7ed77d71d775d3805a205e5.jpg,f30734ee261503287bf6c694fd2e05af.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,[],[],,session_20250711_220207,f30734ee261503287bf6c694fd2e05af.jpg
2025-07-11 22:03:21,b1bf1803b8c9f18104bc65999542f8b5.jpg,f3ce7256bccd4e9a141708520c817c94.jpg,f3ce7256bccd4e9a141708520c817c94.jpg,[],[],,session_20250711_220207,b1bf1803b8c9f18104bc65999542f8b5.jpg
2025-07-11 22:03:28,f3bd6a094c8c147e801fd3f6bf6653c4 (1).jpg,6d72761904577c014571407ed631d22f.jpg,f3bd6a094c8c147e801fd3f6bf6653c4 (1).jpg,[],[],,session_20250711_220207,6d72761904577c014571407ed631d22f.jpg
2025-07-11 22:03:39,59340afabaf4ae57528333da5e49f232.jpg,f3bd6a094c8c147e801fd3f6bf6653c4.jpg,f3bd6a094c8c147e801fd3f6bf6653c4.jpg,[],[],,session_20250711_220207,59340afabaf4ae57528333da5e49f232.jpg
2025-07-11 22:03:45,f30734ee261503287bf6c694fd2e05af.jpg,a488feb4bae45c91cc3393eabb9f82ff.jpg,a488feb4bae45c91cc3393eabb9f82ff.jpg,[],[],,session_20250711_220207,f30734ee261503287bf6c694fd2e05af.jpg
2025-07-11 22:03:54,89f98141d29f1776e7cdd681fa99066a.jpg,4b756779e4f0c8d4d6d7678885203dde.jpg,89f98141d29f1776e7cdd681fa99066a.jpg,[],[],,session_20250711_220207,4b756779e4f0c8d4d6d7678885203dde.jpg
2025-07-11 22:04:02,f392e1d0a0b82712fc120e9b78720338.jpg,b37cc18bd24f1407950ffca7e08c8999.jpg,b37cc18bd24f1407950ffca7e08c8999.jpg,[],[],,session_20250711_220207,f392e1d0a0b82712fc120e9b78720338.jpg
2025-07-11 22:04:16,d52442ed27304dea8a4c306121801c17 (1).jpg,21be5f45916f46095f40ed9a400576be.jpg,21be5f45916f46095f40ed9a400576be.jpg,[],[],,session_20250711_220207,d52442ed27304dea8a4c306121801c17 (1).jpg
2025-07-11 22:04:25,eb5afbf13be7510e401600c9f849051d.jpg,9fd5303eb013fa5f04e910f0263361f8.jpg,eb5afbf13be7510e401600c9f849051d.jpg,[],[],,session_20250711_220207,9fd5303eb013fa5f04e910f0263361f8.jpg
2025-07-11 22:04:32,459341971f4423f9d51ca1cb5c5bd8ac.jpg,361e90c269677297bb4809da9d5526be.jpg,459341971f4423f9d51ca1cb5c5bd8ac.jpg,[],[],,session_20250711_220207,361e90c269677297bb4809da9d5526be.jpg
2025-07-11 22:04:45,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg,4ad1a2f6df8766e9710b1285498c3ddd.jpg,4ad1a2f6df8766e9710b1285498c3ddd.jpg,[],[],,session_20250711_220207,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg
2025-07-11 22:04:54,40de0b836027d08ce7a62418b27fa35e.jpg,b1bf1803b8c9f18104bc65999542f8b5.jpg,b1bf1803b8c9f18104bc65999542f8b5.jpg,[],[],,session_20250711_220207,40de0b836027d08ce7a62418b27fa35e.jpg
2025-07-11 22:05:00,f30734ee261503287bf6c694fd2e05af.jpg,f3738088459afd83fd0665056b838dc7 (1).jpg,f3738088459afd83fd0665056b838dc7 (1).jpg,[],[],,session_20250711_220207,f30734ee261503287bf6c694fd2e05af.jpg
2025-07-11 22:05:15,21be5f45916f46095f40ed9a400576be.jpg,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,21be5f45916f46095f40ed9a400576be.jpg,[],[],,session_20250711_220207,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg
2025-07-11 22:05:22,6d72761904577c014571407ed631d22f.jpg,f5306a4280a35350dd025318d52a4f92.jpg,f5306a4280a35350dd025318d52a4f92.jpg,[],[],,session_20250711_220207,6d72761904577c014571407ed631d22f.jpg
2025-07-11 22:05:29,55ee8daee7ed77d71d775d3805a205e5.jpg,889d1cf474beb6397aaaf4a189aa24f1.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,[],[],,session_20250711_220207,889d1cf474beb6397aaaf4a189aa24f1.jpg
2025-07-11 22:05:40,f3ce7256bccd4e9a141708520c817c94.jpg,0de1a07760cea13b85b0b8a8baa77927.jpg,0de1a07760cea13b85b0b8a8baa77927.jpg,[],[],,session_20250711_220207,f3ce7256bccd4e9a141708520c817c94.jpg
2025-07-11 22:05:50,259dbd705b44eec1129a30973a118285.jpg,f392e1d0a0b82712fc120e9b78720338.jpg,f392e1d0a0b82712fc120e9b78720338.jpg,[],[],,session_20250711_220207,259dbd705b44eec1129a30973a118285.jpg
2025-07-11 22:06:03,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg,6d72761904577c014571407ed631d22f.jpg,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg,[],[],,session_20250711_220207,6d72761904577c014571407ed631d22f.jpg
2025-07-11 22:06:09,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg,dc25d3e87803b8896a13c82966694ed9.jpg,dc25d3e87803b8896a13c82966694ed9.jpg,[],[],,session_20250711_220207,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg
2025-07-11 22:06:21,a84ac635ce802e60b7cc26c6bb4f6f6b.jpg,d9fa7931cb5c7596162cc03aabb272f3.jpg,d9fa7931cb5c7596162cc03aabb272f3.jpg,[],[],,session_20250711_220207,a84ac635ce802e60b7cc26c6bb4f6f6b.jpg
2025-07-11 22:06:34,f3bd6a094c8c147e801fd3f6bf6653c4 (1).jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,[],[],,session_20250711_220207,f3bd6a094c8c147e801fd3f6bf6653c4 (1).jpg
2025-07-11 22:06:42,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,[],[],,session_20250711_220207,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg
2025-07-11 22:06:48,f392e1d0a0b82712fc120e9b78720338.jpg,c6a7e1d2bef0134a305889559bac7fb7.jpg,f392e1d0a0b82712fc120e9b78720338.jpg,[],[],,session_20250711_220207,c6a7e1d2bef0134a305889559bac7fb7.jpg
2025-07-11 22:06:55,c3ad54ddd82340e4003ecab33f552654.jpg,889d1cf474beb6397aaaf4a189aa24f1.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,[],[],,session_20250711_220207,889d1cf474beb6397aaaf4a189aa24f1.jpg
2025-07-11 22:07:01,f30734ee261503287bf6c694fd2e05af.jpg,f68227f59bfabea0a3a219fbf3461a68.jpg,f68227f59bfabea0a3a219fbf3461a68.jpg,[],[],,session_20250711_220207,f30734ee261503287bf6c694fd2e05af.jpg
2025-07-11 22:07:17,4f63d4d7208d03ab985962d30f85594b.jpg,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg,4f63d4d7208d03ab985962d30f85594b.jpg,[],[],,session_20250711_220207,4ac0b3a3c540f62b5d32de037c9ee0a5.jpg
2025-07-11 22:07:26,dc25d3e87803b8896a13c82966694ed9.jpg,f3738088459afd83fd0665056b838dc7 (1).jpg,dc25d3e87803b8896a13c82966694ed9.jpg,[],[],,session_20250711_220207,f3738088459afd83fd0665056b838dc7 (1).jpg
2025-07-11 22:07:32,259dbd705b44eec1129a30973a118285.jpg,2780277d6efffb98e5980c447bfe1154.jpg,259dbd705b44eec1129a30973a118285.jpg,[],[],,session_20250711_220207,2780277d6efffb98e5980c447bfe1154.jpg
2025-07-11 22:07:39,04627b5398f92e8f6172775e85fef596.jpg,0de1a07760cea13b85b0b8a8baa77927.jpg,0de1a07760cea13b85b0b8a8baa77927.jpg,[],[],,session_20250711_220207,04627b5398f92e8f6172775e85fef596.jpg
2025-07-11 22:07:48,b37cc18bd24f1407950ffca7e08c8999.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,[],[],,session_20250711_220207,b37cc18bd24f1407950ffca7e08c8999.jpg
2025-07-12 17:26:45,55ee8daee7ed77d71d775d3805a205e5.jpg,c6a7e1d2bef0134a305889559bac7fb7.jpg,55ee8daee7ed77d71d775d3805a205e5.jpg,[],[],,session_20250712_172632,c6a7e1d2bef0134a305889559bac7fb7.jpg
2025-07-12 17:26:53,f3738088459afd83fd0665056b838dc7 (1).jpg,d52442ed27304dea8a4c306121801c17.jpg,d52442ed27304dea8a4c306121801c17.jpg,[],[],,session_20250712_172632,f3738088459afd83fd0665056b838dc7 (1).jpg
2025-07-12 17:26:59,a84ac635ce802e60b7cc26c6bb4f6f6b.jpg,43bafd4c4578f6a3968366503f5207a0.jpg,a84ac635ce802e60b7cc26c6bb4f6f6b.jpg,[],[],,session_20250712_172632,43bafd4c4578f6a3968366503f5207a0.jpg
2025-07-12 17:27:04,40de0b836027d08ce7a62418b27fa35e.jpg,49e2631a76b80460e305e9c483f3bbe1.jpg,49e2631a76b80460e305e9c483f3bbe1.jpg,[],[],,session_20250712_172632,40de0b836027d08ce7a62418b27fa35e.jpg
2025-07-12 17:27:11,59340afabaf4ae57528333da5e49f232.jpg,7b36af9c468f84a65f216f9efafdd12e.jpg,59340afabaf4ae57528333da5e49f232.jpg,[],[],,session_20250712_172632,7b36af9c468f84a65f216f9efafdd12e.jpg
2025-07-12 17:27:21,59340afabaf4ae57528333da5e49f232.jpg,b1bf1803b8c9f18104bc65999542f8b5.jpg,b1bf1803b8c9f18104bc65999542f8b5.jpg,[],[],,session_20250712_172632,59340afabaf4ae57528333da5e49f232.jpg
2025-07-12 17:27:28,f68227f59bfabea0a3a219fbf3461a68.jpg,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg,b00f84d2d9d1a09ee406f2c80b15e6ab.jpg,[],[],,session_20250712_172632,f68227f59bfabea0a3a219fbf3461a68.jpg
2025-07-12 17:27:36,c3ad54ddd82340e4003ecab33f552654.jpg,361e90c269677297bb4809da9d5526be.jpg,c3ad54ddd82340e4003ecab33f552654.jpg,[],[],,session_20250712_172632,361e90c269677297bb4809da9d5526be.jpg
